TRACK #,SHOW ORDER,IN SHOW,STATUS,NAME,FILE/FOLDER NAME,BPM,TC
0,,FALSE,,Test Track,,,0:00:00
47,,FALSE,,Jefe,,,3:59:00
48,,FALSE,,Rompe,,,4:09:00
3,,FALSE,,Machucando,,,4:19:00
4,,FALSE,,Machucando Pt2,,,4:29:00
5,,FALSE,,QTPL,,,6:09:00
6,,FALSE,,Shaky Shaky,,,5:59:00
7,,FALSE,,Que Tango,,,6:19:00
54,,FALSE,,Ella Me Lavanto,,,4:59:00
42,,FALSE,,La Despadida,,,6:39:00
39,,FALSE,,Sal y Perrea,,,8:39:00
45,,FALSE,,Baila Baila,,,8:59:00
49,,FALSE,,China,,,9:19:00
10,,FALSE,,Remix,,,9:59:00
11,,FALSE,,Beachy,,,13:50:00
12,,FALSE,,Somos De Calle,,,6:59:00
50,,FALSE,,Soltera,,,8:49:00
14,,FALSE,,,,,16:50:00
43,,FALSE,,,,,17:50:00
15,,FALSE,,,,,18:50:00
51,,FALSE,,,,,19:50:00
55,,FALSE,,,,,
17,,FALSE,,,,,
18,,FALSE,,,,,
31,,FALSE,,,,,
28,,FALSE,,,,,
19,,FALSE,,,,,
20,,FALSE,,,,,
21,,FALSE,,,,,
32,,FALSE,,,,,
56,,FALSE,,,,,
52,,FALSE,,,,,
53,,FALSE,,,,,
26,,FALSE,,,,,
27,,FALSE,,,,,
29,,FALSE,,,,,
